drug_a,drug_b,severity,documentation,summary
Carbamazepine,Nifedipine,Unspecified,Excellent,Concurrent use of NIFEDIPINE and STRONG CYP3A4 INDUCERS may result in reduced NIFEdipine exposure and reduced efficacy of NIFEdipine.
Nifedipine,Phenytoin,Unspecified,Excellent,Concurrent use of NIFEDIPINE and STRONG CYP3A4 INDUCERS may result in reduced NIFEdipine exposure and reduced efficacy of NIFEdipine.
Acetaminophen,Carbamazepine,Unspecified,Good,Concurrent use of ACETAMINOPHEN and CARBAMAZEPINE may result in an increased risk of acetaminophen hepatotoxicity and reduced acetaminophen exposure.
Albuterol,Furosemide,Unspecified,Fair,Concurrent use of ALBUTEROL and POTASSIUM-DEPLETING DIURETICS may result in an increased risk of ECG changes or hypokalemia.
Albuterol,Hydrochlorothiazide,Unspecified,Fair,Concurrent use of ALBUTEROL and POTASSIUM-DEPLETING DIURETICS may result in an increased risk of ECG changes or hypokalemia. ALBUTEROL -- LABETALOL HYDROCHLORIDEFair Concurrent use of ALBUTEROL and BETA- ADRENERGIC BLOCKERS may result in reduced efficacy of albuterol.
Amikacin,Furosemide,Unspecified,Fair,Concurrent use of AMIKACIN and FUROSEMIDE may result in increased amikacin plasma and tissue concentrations and additive ototoxicity and/ or nephrotoxicity.
Amikacin,Mannitol,Major,Fair,Concurrent use of AMIKACIN and IV MANNITOL may result in alteration of serum and tissue amikacin concentrations. AMIKACIN SULFATE -- VANCOMYCIN HYDROCHLORIDEFair Concurrent use of AMIKACIN and VANCOMYCIN may result in additive ototoxicity and/ or nephrotoxicity. Major Major Major Major Major Major Major Major Major MajorAMIKACIN SULFATE -- VECURONIUM BROMIDEGood Concurrent use of AMINOGLYCOSIDES and NONDEPOLARIZING NEUROMUSCULAR BLOCKERS may result in enhanced and/ or prolonged neuromuscular blockade which may lead to respiratory depression and paralysis. CARBAMAZEPINE -- CLINDAMYCIN HYDROCHLORIDEFair Concurrent use of CARBAMAZEPINE and CYP3A4 SUBSTRATES may result in reduced CYP3A4 substrate exposure and reduced efficacy of CYP3A4 substrate.
Carbamazepine,Codeine,Unspecified,Fair,"Concurrent use of CARBAMAZEPINE and CODEINE may result in reduced opioid efficacy, precipitation of opioid withdrawal, an increased risk of serotonin syndrome, an increased risk of respiratory depression, profound sedation, hypotension and syncope and reduced codeine exposure."
Carbamazepine,Dexamethasone,Unspecified,Fair,Concurrent use of CARBAMAZEPINE and DEXAMETHASONE may result in reduced dexAMETHasone exposure and reduced carBAMazepine exposure.
Carbamazepine,Fentanyl,Unspecified,Fair,"Concurrent use of CARBAMAZEPINE and FENTANYL may result in an increased risk of respiratory depression, profound sedation, hypotension and syncope, reduced exposure of fentaNYL and an increased risk of serotonin syndrome. CARBAMAZEPINE -- FLUDROCORTISONE ACETATEFair Concurrent use of CARBAMAZEPINE and CORTICOSTEROIDS may result in reduced corticosteroids exposure and reduced efficacy of corticosteroids. CARBAMAZEPINE -- FLUTICASONE PROPIONATEFair Concurrent use of CARBAMAZEPINE and CORTICOSTEROIDS METABOLIZED BY CYP3A may result in reduced corticosteroids exposure and reduced efficacy of corticosteroids."
Carbamazepine,Gabapentin,Unspecified,Fair,Concurrent use of CARBAMAZEPINE and CNS DEPRESSANTS may result in an increased risk of CNS depression.
Carbamazepine,Hydrocortisone,Unspecified,Fair,Concurrent use of CARBAMAZEPINE and HYDROCORTISONE may result in reduced hydrocortisone exposure and reduced efficacy of hydrocortisone.
